

"0089  MATERIAIS MDW LTDA
CNPJ: 48.386.085/0001-14
";"15/01/2026 15:01 Pág:0001"
"Período: 01/01/2025 a 31/12/2025"
"Balancete – Societário"
"Usuário: JANAINA"


"BALANCETE";"Valores expressos em Reais (R$)"

"Conta";"S";"Classificação";"Saldo Ant.";"Débito";"Crédito";"Saldo"
"                                                                                                                                                                                                                                                "
"                                                                                                                                                                                                                                                ";"                                                                                                                                                                                                                                          ";1;"S";"1   ATIVO";899.070,21;;4.442.231,02;3.585.098,60;1.756.202,63;
"                                                                                                                                                                                                                                                "
"                                                                                                                                                                                                                                          ";"                                                                                                                                                                                                                                                ";2;"S";"1.1   CIRCULANTE";886.200,28;;4.432.749,82;3.584.428,74;1.734.521,36;
"                                                                                                                                                                                                                                                "
"                                                                                                                                                                                                                                                ";"                                                                                                                                                                                                                                          ";3;"S";"1.1.01   DISPONÍVEL";303.125,99;;2.305.030,85;1.829.680,42;778.476,42;
"                                                                                                                                                                                                                                                "
"                                                                                                                                                                                                                                          ";"                                                                                                                                                                                                                                                ";6;"S";"1.1.01.002   DEPÓSITOS BANCÁRIOS A VISTA";109.985,54;;1.582.977,14;1.469.680,42;223.282,26;
"                                                                                                                                                                                                                                                ";"                                                                                                                                                                                                                                          ";23;;"1.1.01.002.001   Banco Sicredi";109.985,54;;1.582.977,14;1.469.680,42;223.282,26;
"                                                                                                                                                                                                                                                "
"                                                                                                                                                                                                                                          ";"                                                                                                                                                                                                                                                ";50;"S";"1.1.01.003   APLICAÇÕES COM LIQUIDEZ";193.140,45;;722.053,71;360.000,00;555.194,16;
"                                                                                                                                                                                                                                                ";"                                                                                                                                                                                                                                          ";68;;"1.1.01.003.001   Banco Sicredi";193.140,45;;672.053,71;310.000,00;555.194,16;
"                                                                                                                                                                                                                                          ";"                                                                                                                                                                                                                                                ";7790;;"1.1.01.003.016   Banco Sicred Poupança Integrada";0,00;;50.000,00;50.000,00;0,00;
"                                                                                                                                                                                                                                                "
"                                                                                                                                                                                                                                                ";"                                                                                                                                                                                                                                          ";140;"S";"1.1.02   CLIENTES";0,00;;1.047.206,21;1.047.206,21;0,00;
"                                                                                                                                                                                                                                                "
"                                                                                                                                                                                                                                          ";"                                                                                                                                                                                                                                                ";141;"S";"1.1.02.001   DUPLICATAS A RECEBER";0,00;;1.047.206,21;1.047.206,21;0,00;
"                                                                                                                                                                                                                                                ";"                                                                                                                                                                                                                                          ";142;;"1.1.02.001.001   Clientes Diversos";0,00;;1.047.206,21;1.047.206,21;0,00;
"                                                                                                                                                                                                                                                "
"                                                                                                                                                                                                                                          ";"                                                                                                                                                                                                                                                ";157;"S";"1.1.04   OUTROS CRÉDITOS";0,00;;17.906,54;17.359,14;547,40;
"                                                                                                                                                                                                                                                "
"                                                                                                                                                                                                                                                ";"                                                                                                                                                                                                                                          ";287;"S";"1.1.04.013   ADIANTAMENTOS DIVERSOS";0,00;;10.560,70;10.560,70;0,00;
"                                                                                                                                                                                                                                          ";"                                                                                                                                                                                                                                                ";288;;"1.1.04.013.001   Adiantamentos a Fornecedores";0,00;;10.560,70;10.560,70;0,00;
"                                                                                                                                                                                                                                                "
"                                                                                                                                                                                                                                                ";"                                                                                                                                                                                                                                          ";311;"S";"1.1.04.015   ADIANTAMENTOS A FUNCIONARIOS";0,00;;0,00;279,83;(279,83);
"                                                                                                                                                                                                                                          ";"                                                                                                                                                                                                                                                ";314;;"1.1.04.015.003   Adiantamentos de 13º Salário";0,00;;0,00;279,83;(279,83);
"                                                                                                                                                                                                                                                "
"                                                                                                                                                                                                                                                ";"                                                                                                                                                                                                                                          ";5115;"S";"1.1.04.018   EMPRESTIMO";0,00;;90,34;90,34;0,00;
"                                                                                                                                                                                                                                          ";"                                                                                                                                                                                                                                                ";7158;;"1.1.04.018.012   Centro de Educação MDW";0,00;;90,34;90,34;0,00;
"                                                                                                                                                                                                                                                "
"                                                                                                                                                                                                                                                ";"                                                                                                                                                                                                                                          ";380;"S";"1.1.04.021   TRIBUTOS A RECUPERAR";0,00;;7.255,50;6.428,27;827,23;
"                                                                                                                                                                                                                                          ";"                                                                                                                                                                                                                                                ";382;;"1.1.04.021.002   ICMS a Recuperar";0,00;;6.302,19;6.302,19;0,00;
"                                                                                                                                                                                                                                                ";"                                                                                                                                                                                                                                          ";384;;"1.1.04.021.004   PIS a Recuperar";0,00;;169,77;22,45;147,32;
"                                                                                                                                                                                                                                          ";"                                                                                                                                                                                                                                                ";385;;"1.1.04.021.005   Cofins a Recuperar";0,00;;783,54;103,63;679,91;
"                                                                                                                                                                                                                                                "
"                                                                                                                                                                                                                                                ";"                                                                                                                                                                                                                                          ";502;"S";"1.1.08   ESTOQUES";583.074,29;;1.062.606,22;690.182,97;955.497,54;
"                                                                                                                                                                                                                                                "
"                                                                                                                                                                                                                                          ";"                                                                                                                                                                                                                                                ";503;"S";"1.1.08.001   ESTOQUES DIVERSOS";583.074,29;;1.062.606,22;690.182,97;955.497,54;
"                                                                                                                                                                                                                                                ";"                                                                                                                                                                                                                                          ";6408;;"1.1.08.001.021   Fardamentos";65.755,38;;389.477,20;82.349,43;372.883,15;
